u,v,stratum,link_type
101432,168428,s1,duplicate
5614,14675,s1,duplicate
29744,320770,s1,duplicate
209723,343177,s1,duplicate
60482,209721,s1,duplicate
7241,106207,s1,duplicate
285,104449,s1,duplicate
5614,124841,s1,duplicate
3410,97333,s1,duplicate
1951,3152,s1,duplicate
3622,96270,s1,duplicate
72987,262263,s1,duplicate
187144,187145,s1,duplicate
63225,90772,s1,duplicate
83318,143096,s1,duplicate
65528,166955,s1,duplicate
21316,355674,s1,duplicate
10719,136188,s1,duplicate
202425,318715,s1,duplicate
54531,106448,s1,duplicate
3485,47466,s1,duplicate
7909,190569,s1,duplicate
249205,335415,s1,duplicate
479,94050,s1,Cf.
20737,48578,s1,duplicate
53738,53754,s2,transform
100335,137221,s2,transform
3574,53447,s2,transform
337664,337695,s2,transform
46933,256737,s2,transform
38137,77930,s2,transform
378999,379222,s2,transform
27468,283394,s2,transform
286689,286690,s2,Cf.
65387,292768,s2,transform
250472,250479,s2,transform
109421,109422,s2,transform
384,225951,s2,Cf.
184522,184523,s2,Cf.
389395,389613,s2,transform
140252,140420,s2,Cf.
14532,25181,s2,transform
28356,28357,s2,transform
12,257261,s2,transform
56989,57981,s2,transform
288224,288225,s2,Cf.
116470,288219,s2,transform
5432,116693,s2,transform
70,25065,s2,transform
66841,140554,s2,Cf.
2851,5964,s3,Cf.
6053,94789,s3,Cf.
45801,45809,s3,Cf.
73290,73295,s3,other
35789,69472,s3,Cf.
67098,67104,s3,Cf.
45,10075,s3,Cf.
146883,146884,s3,Cf.
197882,197889,s3,other
191771,191773,s3,Cf.
3319,201689,s3,Cf.
184410,184413,s3,Cf.
100882,229915,s3,Cf.
203,371921,s3,Cf.
3961,276942,s3,Cf.
331935,331965,s3,Cf.
331963,331993,s3,Cf.
6785,304124,s3,Cf.
6126,322451,s3,Cf.
12,355881,s3,Cf.
110883,336094,s3,Cf.
359296,359872,s3,Cf.
307857,347664,s3,Cf.
246827,349717,s3,Cf.
153732,367818,s3,Cf.
226204,256514,s4,Cf.
156547,395733,s4,Cf.
154201,155741,s4,Cf.
112160,388518,s4,Cf.
388542,388543,s4,Cf.
20806,389885,s4,Cf.
175380,371983,s4,Cf.
20763,387856,s4,Cf.
203,183699,s4,Cf.
10527,240198,s4,Cf.
79555,100220,s4,Cf.
1620,34761,s4,Cf.
256514,376643,s4,other
134944,375803,s4,Cf.
383817,383818,s4,Cf.
384141,384143,s4,Cf.
74962,355503,s4,Cf.
2581,319034,s4,Cf.
157532,255176,s4,Cf.
196612,196617,s4,Cf.
196765,196766,s4,Cf.
222070,222071,s4,other
82695,157292,s4,Cf.
10774,229948,s4,Cf.
53300,60294,s4,Cf.
